Emissions per kilogram,Entity,Year
0.48868986875,Ale,2022
0.3870113076923077,Almond butter,2022
0.6558875395161291,Almond milk,2022
0.6023678597222223,Almonds,2022
0.45837839999999996,Apple juice,2022
1.2449736986040187,Apple pie,2022
0.5073538973544973,Apples,2022
1.3821050899999998,Apricot jam,2022
0.9256918166666667,Asparagus,2022
0.921227093548387,Avocados,2022
19.314209012302378,Bacon,2022
0.8028126,Bagels,2022
0.9956444215686275,Baguette,2022
1.8687873555555556,Banana loaf,2022
0.8733495729166667,Bananas,2022
1.3733080129032258,Beans,2022
53.97637075589627,Beef burger,2022
17.36872478560908,Beef curry,2022
70.78747415036258,Beef meatballs,2022
95.0345722731625,Beef mince,2022
2.290114275,Beef noodles,2022
129.74771482600087,Beef steak,2022
0.6862832217391304,Beer,2022
2.6582406426355467,Beetroot,2022
3.989250537349398,Biscuits,2022
20.10575330625,Blue cheese,2022
2.513051435714286,Brazil nuts,2022
0.8787608464606183,Bread,2022
1.4934272760956175,Breakfast cereal,2022
19.139581434146343,Brie,2022
0.8974015212121212,Broccoli,2022
3.3245031830065357,Butter,2022
0.8902840710144927,Cabbage,2022
2.0791893426509587,Caesar salad,2022
16.2814304627907,Camembert,2022
2.0107220066666667,Carrot cake,2022
0.935163376,Carrots,2022
2.087644250617284,Cashew nuts,2022
0.8917262454545455,Cauliflower,2022
2.8533841636861315,Cereal bars,2022
20.749044536746986,Cheddar cheese,2022
2.3693018444444442,Cheesecake,2022
2.26636,Cherry tomatoes,2022
1.2205535,Chia seeds,2022
9.272323308164042,Chicken breast,2022
5.434486845554163,Chicken burger,2022
3.6165459862087963,Chicken curry,2022
2.383995704574977,Chicken noodles,2022
2.946764556691817,Chicken pasta,2022
8.164302485896087,Chicken sausages,2022
9.98188130190233,Chicken thighs,2022
9.583456219515725,Chicken wings,2022
1.3443528666666666,Chickpeas,2022
13.54080492,Chilli con carne,2022
5.083679001818182,Chocolate biscuits,2022
3.9521178780487807,Chocolate cake,2022
2.8776255585585586,Chocolate cereals,2022
4.900423833333333,Chocolate cheesecake,2022
5.372300393750001,Chocolate spread,2022
1.0816328666666666,Cider,2022
3.319989781818182,Coconut milk,2022
0.5287412809523809,Coconut oil,2022
10.904109307377048,Cod,2022
9.313181566197184,Cod fish fingers,2022
7.815675108333333,Cod fishcakes,2022
16.824608285840707,Coffee beans,2022
20.299763557894735,Coffee pods,2022
3.3572777805192344,Cookies,2022
25.278503140540536,Cottage cheese,2022
11.851271288888888,Cottage pie,2022
0.846479423076923,Courgettes,2022
1.1579787751631005,Couscous,2022
3.703236627327327,Cow's milk,2022
2.4484662921875,Cracker biscuits,2022
3.0317244478740157,Crisps,2022
1.6822277803614705,Croissants,2022
0.8471137361163819,Cucumber,2022
1.9761740150000002,Dairy-free cheese,2022
2.4511965433333334,Dairy-free ice cream,2022
20.62003664137931,Dark chocolate,2022
2.199664934458113,Doughnuts,2022
1.3815115279411767,Egg noodles,2022
4.436600070403587,Eggs,2022
1.098106175,Falafels,2022
14.838609167741934,Feta cheese,2022
1.9476826133333334,Flapjack,2022
0.7534718473684211,Frozen chips (french fries),2022
0.5175197588235294,Frozen jacket potatoes,2022
0.8266427090909091,Frozen mashed potato,2022
0.7711746933333334,Frozen onion rings,2022
0.66477544,Frozen potato wedges,2022
1.203417143902439,Frozen roast potatoes,2022
0.40988481764705875,Frozen sweet potato fries,2022
3.452116065517241,Fruit cake,2022
1.6489147438016527,Fruit smoothies,2022
1.00383673125,Garden peas,2022
19.312073018867927,Goat's cheese,2022
1.7811926156448203,Granola,2022
8.278876373015873,Grapes,2022
4.898891066666667,Haddock risotto,2022
16.172452393333334,Halloumi cheese,2022
3.661809453757829,Ice cream,2022
1.3143929374999999,Ice lollies,2022
28.783641316666667,Instant coffee,2022
0.9034191734693877,Kale,2022
1.6137066606060604,Kiwis,2022
30.74094725519043,Lamb (leg),2022
11.22625366261194,Lamb Hotpot,2022
26.92828869900683,Lamb burgers,2022
30.877309999999998,Lamb casserole,2022
30.901992941176474,Lamb chops,2022
10.192564702241118,Lamb curry,2022
7.25916164,Lamb moussaka,2022
1.96138175,Lasagne sheets,2022
0.47015285999999995,Lemons,2022
2.536520218918919,Lentils,2022
4.926023126492997,Lettuce,2022
0.4630078571428571,Limes,2022
16.849313125000002,Macaroni cheese,2022
13.606384471999998,Mackerel,2022
1.5489212745945946,Marmalade,2022
7.400659903436843,Meat pizza,2022
1.0183294723880598,Meat-free burger,2022
0.8770376238095239,Meat-free mince,2022
0.8618467304347827,Meat-free nuggets,2022
0.9625576706896553,Meat-free sausages,2022
1.0565359743589744,Melon,2022
10.800274824937029,Milk chocolate,2022
0.9209,Mixed salad,2022
16.233199963265307,Mozzarella cheese,2022
2.271910570798898,Muesli,2022
2.5836309558468336,Muffins,2022
2.3529166740331493,Mushrooms,2022
1.0132342196078432,Naan,2022
0.7161309571428571,Nut loaf,2022
0.4532805909090909,Oat milk,2022
5.184628231372549,Olive oil,2022
0.36286034777070064,Onions,2022
0.4888484060085837,Orange juice,2022
0.4665495395348837,Oranges,2022
2.8095122264047983,Pain au chocolat,2022
1.5478088875481386,Pancakes,2022
24.016479826923074,Parmesan cheese,2022
0.9896065119999999,Parsnips,2022
1.0255827666666666,Pasta shells,2022
3.434960202255639,Peanut butter,2022
3.1462268521739127,Peanuts,2022
0.9255553739583333,Pears,2022
2.5159416210526313,Pecan nuts,2022
1.6251067503703704,Penne pasta,2022
0.9186621428571429,Peppers,2022
0.9320080325,Pineapple,2022
0.5635607857142857,Pitta bread,2022
